date,close,volume,inst_net,frgn_net,frgn_hold,frgn_rate
2024-11-06,110000,1135866,-28279,-31528,17610315,25.50%
2024-11-07,107800,888010,-72443,-15845,17595783,25.48%
2024-11-08,114100,861919,46018,138495,17732437,25.67%
2024-11-11,108500,621389,-5967,-93698,17638237,25.54%
2024-11-12,115700,1222276,57126,148487,17787576,25.75%
2024-11-13,109800,568472,-1787,-137663,17649523,25.55%
2024-11-14,105600,1113133,-59960,-32914,17615494,25.50%
2024-11-15,89700,1965992,-175273,12941,17624592,25.52%
2024-11-18,88800,1137972,-118140,46971,17673380,25.59%
2024-11-19,90200,641138,7441,24789,17697576,25.62%
2024-11-20,88000,694970,-22295,-33857,17666023,25.58%
2024-11-21,89400,760636,14868,16318,17679942,25.60%
2024-11-22,92800,726349,17300,80656,17760280,25.71%
2024-11-25,95300,662772,8863,-15737,17741009,25.69%
2024-11-26,91600,869400,-9898,-63706,17678927,25.60%
2024-11-27,90200,591568,-25096,-17655,17662402,25.57%
2024-11-28,91100,466516,-11835,5555,17664344,25.57%
2024-11-29,85000,483464,-23259,-35821,17635532,25.53%
2024-12-02,82900,636525,-26328,62202,17698049,25.62%
2024-12-03,81000,950710,-37253,102352,17801026,25.77%
2024-12-04,77500,790176,-50910,33193,17834641,25.82%
2024-12-05,75300,627347,18227,30591,17864696,25.86%
2024-12-06,76000,894949,20603,-16420,17843492,25.83%
2024-12-09,72400,608514,7278,39313,17882601,25.89%
2024-12-10,75900,541959,16271,90539,17975994,26.03%
2024-12-11,76000,447481,940,-89925,17884883,25.89%
2024-12-12,77600,793179,-15270,22584,17906705,25.93%
2024-12-13,80600,616475,136230,-9440,17895673,25.91%
2024-12-16,81600,464272,36347,-50118,17840321,25.83%
2024-12-17,76200,692976,-32732,-104734,17738070,25.68%
2024-12-18,76700,439562,-7116,41749,17778707,25.74%
2024-12-19,72800,619814,-73306,-34589,17741215,25.69%
2024-12-20,70500,497274,-7823,76558,17823200,25.56%
